komentar,sentimen,emosi
"Sebagai warga Indonesia yang cuma lulusan SMK dan sering di Bully saat cari kerja ataupun saat kerja karena saya pendek item dan jelek, saya bangga bisa kerja di UK dengan Skill worker visa ❤️",Positif,Lainnya
Di Indonesia yang enak cuma PNS DAN PEJABATNYA,Netral,Lainnya
Aku sudah pindah sejak 1 tahun lalu ke Russia mba Yenni kesayangan... ❤️❤️❤️,Positif,Lainnya
Sepertinya banyak Pensiunan dan Manula yang masih kuat bekerja tapi di Indonesia tidak diterima buat bekerja padahal mereka mau mandiri tidak tergantung anak anak mereka. Nah in perlu dipikirkan juga solusinya.,Marah,Lainnya
"Saya sudah tinggal di Australia lbh dari 25 tahun. Anak saya lahir disini tapi bisa bahasa Indonesia, kita ngomong bahasa Indonesia tiap hari. Makanan fav dia, soto ayam, bubur ayam, pempek, ayam kremes, siomay, dan kita juga kadang dengerin lagu Indonesia, saya pastikan dia tau kita org Indonesia. Kurang nasionalis? Tapi nasionalisme hanya diharapkan dari rakyat kecil sementara yg diatas semua korupsi, nah itu nasionalis? Tidak ada salahnya orang2 pergi ke tempat di mana mereka dihargai👍 karena negara sendiri tidak menghargai, pejabat sibuk korupsi, masa depan seperti apa? Realistis aja ga usah bawa2 nasionalis. Hebat Mba Yenny, very open minded👏👏",Positif,Takut
"Wuah mbk Yenni ini kliatan bngt kurang info detail tentang negara2 tsb yg disebut beliau. Cara facts actual dulu mbk sebelum promosi. America aja sedang melakukan pemulangan immigrant. Melakukan PHK besar2an PNS nya. Ekonomi meroket tinggi. Kerja di America itu gk segampang itu Krn harus ada ijinnya mbk. Masih panjang lagi daftarnya.

Nah Canada sendiri aja penduduk disana malah ngacir mbk. Jepang mreka trima yg langsung ada ikatan kerja Indonesia Jepang. Dan masih banyak lagi loh mbk.

Anti mainstream ya mbk Yeni sama government Indonesia? Saya yakin Gus Dur dari ATAs sana sangat kecewa dengan Pola pikir seperti anda mbk.",Positif,Marah
Yang paling gampang itu ke Korea Selatan dengan Program G to G....Jepang dengan Program Magang...saat ini yg paling gampang prosesnya....🔥🔥🔥,Netral,Lainnya
"Meski jadi tki ,,dsini sya Betah bngt mbk ..bukan krena gjinya tapi dsini benar2 dmanusiakan,mereka mnghrgai kita sesuai kapasitas kita ,untuk hukum keamanan serta fasilitas dsini smua gratis cak cek g ad yng bayar bner2 melindungi bngt 🔥",Netral,Lainnya
Mslhnya ntar ganti di Indonesia yg nempati siapa.....emang biar ditempati org China..!! bgmn kalo ditempati org china...???,Netral,Lainnya
Mantaapp.. yuk pergi ke AS. Mau tahu caranya.. ? Tonton video saya di youtube IndoPhilly Channel. Free,Sedih,Lainnya
"mb yeni ini info valid/ tdk saya tinggal di Madrid spain, mlh byk org struggle cari kerja. disni low salary & cost of living mayan . Dilain kota jg sama. jdi infonya tlg yg jelas ya . krn tdk sesuai kenyataan .",Netral,Lainnya
"Mengatakan makin lama negara tidak mementingkan rakyat, kata2 ini yg menurut saya kurang tepat, padahal pemerintah juga udah berusaha utk rakyatnya, jgn karena jagoan pilpres kalah malah mengatakan spt ini😂",Netral,Lainnya
Canada atau Italia😍😍,Positif,Lainnya
se7 bngeeettz with this statement dari mba Yenny Wahid 👍✌️👏 ~ semangat💪 for #kaburajadulu👍👏😍,Positif,Lainnya
Saudi Arabia dong....,Netral,Lainnya
"Nah ini solusi,bukan dikira gak nasionalis,ini soal capek&ingin bahagiain keluarga,emang bapak doang yg ingin kaya.ups...🤭😂😁🙏",Positif,Lainnya
Andai waktu bisa berulang lagi,Netral,Lainnya
"Caption'a tdk sepenuh'a solusi Bu. Namun, sprti bermuatan politis.",Netral,Lainnya
"Jangan sampai menyesatkan ya dan orang berpikir begitu gampang nya pindah .di Kanada aku kasih tau ,harga rumah udah gila2an .memang di kasih kemudahan dan subsidi di awal beli rumah .tapi cicilan rumah tuh sampai 25 tahun .perbulan itu sekarang biaya kredit nya udah gila2an paling kecil aja $2000 an sebulan .rata2 sekarang $3000 an lebih itu untuk apartement 1 kamar -2 kamar tidur .rumah satuan udah $10 million.kaliin aja Rp.11 ribu 😂 gaji minimum itu $2700 an .kl mereka harus bayar sewa rumah dll ,biaya hidup berapa ? Yg gajinya $6000 an sebulan hidup pas2an kok .jangan lupa ya harga barang2 juga mahal ,inflasi tinggi dan pajak besar .pajak pendapatan,potongan ini itu,asuransi dll.dan hkmm ga ada subsidi BBM 😊 tinggal di luar negri ga seindah itu bestiee .harus itung semua nya sebelum mutusin ke luar negri",Sedih,Marah
"Sayang mau kabur dulu, sudah terbatas dengan usia",Netral,Lainnya
"Ini memang pantas jadi anak gusdur, thank you mbak.",Netral,Lainnya
Jepang mam❤️,Positif,Lainnya
Bagi link resmi dong bunda sayang 👏,Netral,Lainnya
Caranya gi mana ba. Yeni,Netral,Lainnya
Bunda yenny saya juga kepingin bun 🙏❤️,Positif,Lainnya
"Jepang sptnya bagus, sayang kendala bahasa aja.. 😮😂🙏",Positif,Lainnya
Gmna cra nya ksna ibu. Mohon pencerahan nya,Netral,Lainnya
Makasih infonya mba yeni,Netral,Lainnya
Semoga pada saatnya nanti Tuhan tetap ijinkan untuk bisa ketemu lgsg mbak Yenny Wahid. 🤲🤲,Netral,Lainnya
"Sedih ya yg menampung para pekerja WNI ga sekaya Indonesia , SDA Indonesia kaya raya , rakyatnya miris kehidupannya , kata Gus Dur alm , pak Ps orang paling ihklas buat Indonesia , nyatanya dia berubah semenjak berpelukan dg orang yg membuat Indonesia berantakan , demi ambisiinya .. hisk",Marah,Sedih
🙏saya minat ibu nyai caranya gimana,Positif,Lainnya
Bismillah insyaallah ke jepang via TG #yennywahid 🔥🔥👍😂,Positif,Lainnya
Indonesia rumahku.....tetep rumahku...indonesia tidak salah...yg salah rakyatnya.ya pemimpinya....salah kita semua,Netral,Lainnya
Kabur ke solo mbk ke rmh si itu,Netral,Lainnya
"Mba,kalo saya ke itali sih pengennya",Netral,Lainnya
"Jangan kabuurr, ntar negeri kita diisi Cina semuaaah 😂😂😂",Netral,Lainnya
Spanyol mbak Yenny,Netral,Lainnya
Yuk pada keluar negeri yang jauh lebih bisa menghargai karya dan skill tenaga kerja. Lowongan kerja di Indonesia sangat sempit gaji juga sangat kecil. Yuk para anak2ku lulusan SMK kepakkan sayapmu setinggi dan sejauh mungkin untuk bangun masa depan yang menjanjikan mumpung masih muda belum berkeluarga🙏🙏🙏🙏🙏,Positif,Lainnya
"Mba Yenny, thank you for understanding the real situation of our beloved country. You rock big time. Thank you for being you 🙏🫰🙏",Positif,Lainnya
"Qatar aj, mau umroh deket",Netral,Lainnya
Mohon di sampaikan ke teman teman ibu yang ada di Pemerintahan.. Mohon bantu sosialisasikan cara kerja di luar negeri.. Juga bantu permudah jalurnya dan juga di beritahu cara caranya apa saja yg harus di urus agar bisa cari nafkah di luar negeri.. Mengingat di Indonesia sangat susah sekali mencari kerja.terbatas..terimakasih,Positif,Lainnya
"Tokoh mu yg sangat menyedihkan ini menurut saya.ibu kabur aja jangan balik lagi kalau bisa kan punya urat malu?jgn udh mempromosikan negara lain,merendahkan negara sendiri tapi ga punya malu.",Marah,Lainnya
Canada no 1? How come? 😂,Netral,Lainnya
❤️WK WK siapkan jaket wol bb❤️,Positif,Lainnya
"ntar setelah pensiun, ada gak negara yg mau terima, dan juga bisa kerja usia senior?",Netral,Lainnya
Mau mbak Yenny.... Canada atau Italy,Netral,Lainnya
Kalau untuk kesehatan khususnya fisioterapi negara mana yg paling ideal buat kabur Bu Yenny,Positif,Lainnya
"wah seru juga ya , mba... tapi bagaimana- usia saya ga muda lagi - apakah masih bisa diterima ya? 😁😂😁",Netral,Lainnya
Trima kasih Mbak Yeni atas infonya,Netral,Lainnya
@yennywahid Mba jangan tanggungSekalian info caranya sukur-sukur bisa bantu sampe tempat 7an,Netral,Lainnya
Tolong sy sy mau gimana yg membantu sy anggap saudara sehidup semati..,Sedih,Lainnya
"Kereen Bu Yenny 👍, sehat selalu buat Bu Yenny",Positif,Lainnya
Sedih ya Bu.. Indonesia bs kehilangan tenaga produktif usia 20-40...keuntungan bagi negara negara luar..di saat mereka kelimpungan dgn turun nya angka kelahiran dan tenaga produktif..kita berlimpah.solusi buat negara lain..kerugian negara kita.,Sedih,Sedih
Saya mau kabur KE USA bgmn kk Yenny caranya,Netral,Lainnya
"HATI2 INI BERITA HOAX , bukan ngomporin tak kelihatannya tidak akurat . Amerika apa pada ngak lihat di semua pelosok Negara pada tidur ditenda-tenda . Hati2 apakah betul berita ini asli mbak Yenny yang bicara .",Netral,Lainnya
Wow Bu Yenny 👍,Positif,Lainnya
❤️mba Yeni Boleh donk buka jejaring u kami Bs akses kerja ke Luar ....,Positif,Lainnya
Ngapain kabuuur... benahi aja dulu...,Netral,Lainnya
Nak yeni..mendingan buat anak indo belajar pertanian..peternakaan..kelautan..pariwisata ( hotrl n resto )..kehutanan.perkebunan beasiswa keluar negeri sistem ikatan dinas..tuh..negara kita masih banyak yg bisa di kelola..jangan kamu suruh .seakan akan dinegara lain .lebih enak..kalian aja para petingga ga mampu menciptakan lapangan kerja..kasihan kakek nenek yg sdh berjuang untuk merdeka ..kamu kayaknya ada muatan politisnya..masa kamu ga malu siy nawarin buat generasi muda..hellowwwww..,Netral,Lainnya
Benar gak bu ? Gimana caranya ?,Netral,Lainnya
Itu kalo kita punya ketrampilan. Kaga modal tenaga besar makan kuat tidur kerja lemot siapa yang mau terima,Netral,Lainnya
Gimana bisa ke jepang mau lanjut S3nya?,Netral,Lainnya
Gmna cara nya?,Netral,Lainnya
"Saya tertarik ingin kerja di luar negeri,tapi usia dibatasi nggak",Netral,Lainnya
"Mbak yeni seperti almarhum gusdur,saya kagum sama beliau",Positif,Lainnya
Gimana caranya buk ?,Netral,Lainnya
Sy mau kalau ke Italia bagaimana mbak?,Netral,Lainnya
Ikutan ...dung mau yg dekat dan kuat dg budayanya yg sederhana tapi mengguncang dunia 😂😂 🇳🇿🇯🇵🇯🇵🇰🇼,Netral,Lainnya
"Mantap infonya ibu Yenni, semoga ini nyata dn bisa mengangkat derajat anak""negri tercinta Indonesia, yg bisa naruh harapan besar di negara"" besar tersebut, aku minat Bu Yenni, ke spanyol atau canada?",Positif,Lainnya
Mbak yenni bantu aku mbak kejepang gimana caranya?,Netral,Lainnya
Gimna klo umur 50 thn tpi msh energi untuk bekerja,Netral,Lainnya
Andai aku masih muda,Netral,Lainnya
"Jika harus memilih, lebih memilih negara Italia, karena selain memiliki pemandangan yang indah , negara kaya sejarah, seni dan arsitektur nya ini juga merupakan negara dengan umat muslim terbesar kedua di italia setelah agama katolik terutama wilayah Maroko dan Albania.",Sedih,Lainnya
Jepang mbak yenny,Netral,Lainnya
Aku mau di jepang aja mba yeni,Netral,Lainnya
Bukan cape lagi..harapan hidup di nkri ufah gelap,Sedih,Lainnya
Bismillah mau mulai dari Jepang dulu,Netral,Lainnya
Rakyat di ajak revolusi aja.demi anak cucu,Netral,Lainnya
"Negara mana ya yang bisa meroket warung Madura 25jam, Warteg, Warung Gorengan & Jamu",Netral,Lainnya
Aku juga pengen klw ada jalannya,Netral,Lainnya
Kalau umur 42 apakah masih bisa?,Netral,Lainnya
Keren mba Yeni,Positif,Lainnya
Brunai Darussalam ada ..nggk buk,Netral,Lainnya
"Mau Bu ,,,aku minat caranya gimana,,,,aminta wa nya🙏🙏",Positif,Lainnya
"Diluar negri itu biaya hidup dan pajak memang mahal tapi worth it sih Bu Yenny, makin rajin kerja makin banyak gaji,mau punya uang jajan lebih bisa partime karena waktuvdan tenaga kita sangat dihargai,dan gak perlu punya kaki jenjang dan dagu lancip buat bisa diterima kerja wkwkwkkwkwk😂😂😂",Netral,Lainnya
"Iya mbae gabut orsosing,gaji paket jamnya 12 jam.di bawah umr pula..kasihan anak2",Netral,Lainnya
Caranya mba??pengen bgt buat nglunasin utang.tolong bgt mba🙏,Positif,Lainnya
Assalamualaikum Bu .....berarti benar ya Bu sdh TDK ada harapan lg d negeri sendiri 😁,Marah,Lainnya
"Buktinya harus bayar ,nggak ada yg gratis boss👍",Sedih,Lainnya
Aku pengen kw Jepang mba,Netral,Lainnya
Bagaimana cara nya ibu?,Netral,Lainnya
Mending tinggal di Indonesia negri yg banyak di huni para wali Alloh.. SWT,Netral,Lainnya
Cuslah ke Italia kyknya keren tuh....😁,Positif,Lainnya
..bagi mantan pekerja(imbas dr covid-19)tpi mantan pkerja itu tripikal ny jg pengalaman ny Lumayan cukup berKompeten bersertifikat bhkn trrmasuk berSkiiL namun apalah daya krena asli wrga wni wrga bisa akhirnya sllu terpuruk dlm mencari nafkah di negara nkri ini nah bagaimana cara ny untuk bisa bkrja atau brUsa sperti promo2si ini/ibu Yeni ini krena mantan pkerja itu/ini punya keterbatasan Usia(di bw 50thn) jg keUangan ny tuk jalankn program/promo sprti itu...??? Sprti Sya/xs' imbas Covid,Netral,Lainnya
klu emng bs atu rezeki ny sya Sya mau ke negara jepang atu AS loh..,Netral,Lainnya
Kak bisa share link-nya klo mau tahu info lbh lanjut kabur ke Italia dgn subsidi 30rb euro,Netral,Lainnya
"Saya mau dong ke Italia, bagi info lengkapnya bisa ibu @yennywahid 🙏🙏",Positif,Lainnya
KABUR AJA DULU...👍👍🤝😍,Positif,Lainnya
Mbak yeni saya tolingi ya pingin kerja di jepng...usia dh 60.mbak yeny.. tpi msih frees ok tenga mbak yeny...gimna cara nya mbak yeny..🙏🙏,Positif,Lainnya
Hahaha Level Bu Yenny Wahid endorse #Kaburajadulu hahaha indonesia gelap dan pengap ini,Netral,Lainnya
"Infonya ning yeni...pengen ke canada, soalnya anak butuh biaya buat skolah...trimakasih🙏",Positif,Lainnya
Mau lah gimana cara nya,Netral,Lainnya
Sama bun. Ngak aku cinta Indonesia Negara dewe,Netral,Lainnya
Mantap tuh buat anak muda. Saya masih bisa gak ya Bak Yeni,Positif,Lainnya
Apapaun yg penting bukan di sini,Netral,Lainnya
Mending transmigrasi aja deh...indonesia msih luas lho,Netral,Lainnya
Saya mau dong kak gimana cara nya dm saya,Netral,Lainnya
syaratnya apa aja mbak?,Netral,Lainnya
"Sudah takdir ku gak kuat lagi kabur. Tapi pernah beberapa kali ngerasain hidup di negara negara maju karena dapat beasiswa studi singkat saat masih muda. Setelah balik ke negeri konoha , berat sangat berjuang melawan budaya ordal dan wanita piro😂",Sedih,Lainnya
Kak@yennywahid infonya dong buat ke kanada ma suami,Netral,Lainnya
"cuma mau tanya.. ketika rohingya masuk ke indonesia, warga cina masuk indonesia.... rakyat indonesia byk menolak & keberatan.laaaah skg kok malah warga indonesia yg mau kabur k negeri org???",Sedih,Lainnya
mendingan Pendidikan gratis daripada makan gratis..,Netral,Lainnya
Cara nya dan hubungi kemana?,Netral,Lainnya
Informasi nya dong,Netral,Lainnya
"Makasih infox mbk yeni, sehat terus ya.",Netral,Lainnya
Negara yg gak rakyatis,Netral,Lainnya
@yennywahid bantuin Mba Yenni sampai mendapatkan tempatkerja di kanada.akan q ingat samean adalah Manusia setengah Dewa Mba😊,Positif,Lainnya
"Non,, keren info nya,,, boleh tidak di Bantu cari info nya kemana , Dan yg bukan penipuan ,,",Positif,Lainnya
Cara nya gmn ka Yeni kadang kita orang desa kurang paham banyak pemuda2 yg ngangur pengen kerja keluar negeri,Netral,Lainnya
Mau saya pindah ke daerah di jepang . Ato di spanyol,Netral,Lainnya
Mau tinggal di desa di Italia,Netral,Lainnya
Bea Siswa Tahfidz Al Quran mbak Yeny cantik ? Ada gak?... Untuk Aliyyah dan Perguruan Tinggi ❤️❤️❤️,Positif,Lainnya
Kabur sm mba @yennywahid 😁,Netral,Lainnya
CARANYA DAN SYARATNYA APA..MOHON INFO,Netral,Lainnya
Aku pingin di JEPANG..disiplin..,Netral,Lainnya
"Iya Bu, mau k Italia or jepang",Netral,Lainnya
Jika ingin pindah dan kerja disana tapi ada keterbatasan usia/pendidikan apa bisa,Netral,Lainnya
Pgn bgt tp gak ad biayanya kesana😂,Netral,Lainnya
"Sy mau ke jepang Bu, denger2 di jepang sdh banyak masjid ya?",Netral,Lainnya
kalau kaburnya pakai Visa Turis atau nyusup caranya gimana? soalnya kalau pakai visa kerja harus repot. Kalau mau lewat imigrasi juga dipersulit,Sedih,Lainnya
"Ke jepang saja Bu disana uenake pol , tidak ada copet dan orang2 nya jujur",Netral,Lainnya
Mau dunk gmn caranya 🙏🙏,Positif,Lainnya
Caranya gma..yg pemerintah support ya,Positif,Lainnya
Cara pindah ke desa di Italia atau ke jepang bagaimana caranya bu @yennywahid,Netral,Lainnya
Saya mau ke jepang Bu yennny tolong di bantu,Netral,Lainnya
jepang aja kyk nya mbak,Netral,Lainnya
"Anakku bakal kabur ke jepang tahun depan, smoga dilancarkan 🙏",Positif,Lainnya
"usaha pecel lele ,sm jual sayur asem ada yg beli gak yah.",Netral,Lainnya
Ya capek...n kecewa...sm negara yg gak malu kl rakyat sdh gerah tinggal di negaranya sendiri,Positif,Sedih
Italia masih ada peluang mbak buat kami.. maturnuwun infonya,Netral,Lainnya
Kanada seru sepertinya kak,Netral,Lainnya
"Pengen sekali,,tpi sayang bokin ora mbrani",Netral,Lainnya
Kenapa mbaknya gak ikut kabur,Netral,Lainnya
"Bu, aku salfok sama tanamannya 😍",Positif,Lainnya
Caranya bgmn?,Netral,Lainnya
Keren banget mbak,Positif,Lainnya
Jepang aj KK Yeni gmn persyaratannya,Netral,Lainnya
Gmn caranya bu,Netral,Lainnya
Kalau di Konoha kerja gajinya habis kena pajak,Netral,Lainnya
"Waduw kata""nya dukung pemerintah prabowo tapi ko tdk ada dukungan, karena gak kesempatan jadi metri atau wamen. Kasian",Positif,Lainnya
"Assalammu alaikum, Bu @yennywahid .. Kalo utk umur 50thn bisa kerja dinegara mana ya?",Netral,Lainnya
Info dong cara nya saya mau ke Jepang,Netral,Lainnya
Ada batasan usia gak?,Netral,Lainnya
Assalamualaikum mbak Yenny... bagaimana caranya mbak?saya minat..mohon info nya..mksh🙏,Positif,Lainnya
"Kren mba maulah, bagi linknya mba😍",Positif,Lainnya
"Baru keren ...., gmn caranya ke jepang",Positif,Lainnya
caranya sulit bangat bu,Sedih,Lainnya
Tapi ga sesimple itu mbak yeni,Netral,Lainnya
Bu Yennywahid....saya asli jombang apakah saya bisa dibantu? usia saya 57thn tapi ingin merantau ....,Netral,Lainnya
"Ya udah pindah sana, mau balik lagi ke tanah air tetap boleh, ga balik juga gpp. Gitu aja kok repot",Netral,Lainnya
Mau ke jepang donk cara linknya,Netral,Lainnya
Pngen kabur ke canada,Netral,Lainnya
Mau dong ...dikasih tau caranya bu,Netral,Lainnya
Italy atau spanyol kayaknya pilihan yg tepat,Netral,Lainnya
Jepang tapi ga tau cara nya gimana,Netral,Lainnya
"Bangun.. tidur.., tidur..lagi Mbah Surip lagunya. Udah eunak.. jadi ambtenar/PNS di Republik mimpi ? 😁🔥🙏❤️",Positif,Lainnya
"mba yeni gimana caranya kaburnya, pliisssss bantu 🙏🙏",Positif,Lainnya
Cara nya gmn mba tuk daftar ???,Netral,Lainnya
TENKYUU MBAK YENI,Netral,Lainnya
Saya mau kirim anak saya ke luar mbak biar gaa hidup di negara yg isi pemerintahannya 8471n94n 53mu4..gimna caranya🔥🙏,Marah,Lainnya
ingin rasanya pindah k sana tapi apalah daya bahasa planet ku tidak bisa menyesuaikan kehidupan di dana 😁😁,Netral,Lainnya
Mau dong mba...muak sama pemerintah omon omon😂😂😂,Netral,Lainnya
Minat mbak #kaburajadulu bgmna caranya,Netral,Lainnya
Menarik klo ke Jepang kayaknya bisa bu.. Atau ke kanada bisa bantu bu?,Positif,Lainnya
"Bagi yang belum mampu untuk kabur, ayo kita sama-sama perbaiki kondisi ini mulai dari diri kita sendiri dan kurangi menyalahkan keadaan 🙏👍",Marah,Lainnya
"gimana caranya mba yenny, tolong di spill dong caranya",Netral,Lainnya
@yennywahid klo suami istri bs gk mba trus cara y gmn,Netral,Lainnya
"Keren banget, sekelas mbak Yeni mendukung program kabur aja Dolo 😍",Positif,Lainnya
Jadi bener ya mbak ...Negara kita sudah gak ramah buat rakyatnya sendiri ?😂,Marah,Lainnya
"Mau Jepang, tp dimana aja asal bisa kerja dibayar sesuai ,,,dan aman sejahtera,, aaminn ..kalo bisa bawa klg😍",Positif,Lainnya
Ada maks usia kah mbak @yennywahid,Netral,Lainnya
Di Oklahoma gak ada apa2nya... banyak bencana Alam.. sangat keringggg,Netral,Lainnya
Apa saja persyaratan nya bu,Netral,Lainnya
Mbak yeni dukung banget yaaaa ❤️❤️❤️,Positif,Lainnya
Bismilah..Ingin sekali ke canada or ke jepang tapi bagaimana caranya mbak Yeniy @yennywahid,Netral,Lainnya
Assalamu'alaikum mba yeni boleh dong infonya... Caranya gmn....,Netral,Lainnya
ini kontennya cma iming2 tapi ga jelas caranya ga di share cuma copas dari google.,Netral,Lainnya
Kabuuur yuuuk... Bukan tidak nasionalis tapi lihat kenyataan .. Makasih mbak Yeni .. Kereendech,Netral,Lainnya
Bakal naik nih pendapatan pajak negara 😂 🤭🙏,Positif,Lainnya
"Kl ibu mau buatkan pasfor dan uang ongkos kesana gpp, nanti kl uda gajian kita bayar 😁",Netral,Lainnya
Bisa GK kabur sama istri dan anak mbak @yennywahid Q TK budal wess 😁,Netral,Lainnya
Bismillah budal taun niki neng,Netral,Lainnya
Luar biasa 👍🙏keren,Positif,Lainnya
